input_company_name,company_name,match_confidence_score,status,website_domain,main_country
24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,EmerioSoft,34.78260869565217,Reject,emeriosoft.com,Pakistan
2OPERATE A/S,2operate,100.0,Auto-Accepted,2operate.com,Denmark
3 STEP IT A/S,3 Step IT A/S.,100.0,Auto-Accepted,3stepit.dk,Denmark
3 STEP IT AS,3 Step IT A/S.,60.0,Manual-Review,3stepit.dk,Denmark
3 Step IT Sweden AB,Basta Horlurarna,75.0,Manual-Review,bastahorlurarna.se,Sweden
"3DEGREES GROUP, INC.",3Degrees Inc.,72.72727272727273,Manual-Review,3degreesinc.com,United States
3Step IT Group Oy,3Step IT Group,90.32258064516128,Auto-Accepted,3stepit.com,Finland
A.T. KEARNEY AB,AT RÖRSERVICE,62.06896551724138,Manual-Review,vvshagersten.se,Sweden
A. T. KEARNEY PTE. LTD,ATKEARNEY,37.5,Reject,atkearney.top,
AALBORG CITY,AALBORG CITY,100.0,Auto-Accepted,aalborgcity.dk,Denmark
ACCENTURE SERVICES AS,Accenture Norge,66.66666666666666,Manual-Review,accenture.no,Norway
Accutics ApS,Accutics,100.0,Auto-Accepted,accutics.com,Denmark
ACOME,ACOME Company a Cooperative,100.0,Auto-Accepted,acome.com,France
"ACOME XINTAI CABLES CO., LTD.",Acome Xintai Cables Co. Ltd.,100.0,Auto-Accepted,,China
ADAPT A/S,Adapt,100.0,Auto-Accepted,a-dapt.dk,Denmark
ADECCO A/S,Adecco Fredericia,62.17391304347826,Manual-Review,adecco.dk,Denmark
ADECCO PERSONNEL PTE LTD,Adecco Singapore,100.0,Auto-Accepted,adecco.com.sg,Singapore
ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,Adobe Systems Software Ireland,100.0,Auto-Accepted,,Ireland
ADVANCED DIGITAL BROADCAST SA,Advanced Digital Broadcast Holdings SA.,86.56716417910447,Manual-Review,adbholdings.com,Switzerland
Advanced Network Solutions Sdn Bhd,Advanced Network Solutions Sdn. Bhd.,100.0,Auto-Accepted,,Malaysia
ADVANSIA AS,Advansia AS,100.0,Auto-Accepted,afadvansia-prosjektweb.com,Norway
AEGER GROUP AS,Aeger Group,100.0,Auto-Accepted,aeger.no,Norway
AFFIRMED NETWORKS INC,Affirmed Networks,100.0,Auto-Accepted,affirmednetworks.com,United States
Agg Power Technology (Fuzhou) Co Ltd.,AGG Power,50.0,Manual-Review,aggpower.cn,China
AIA Berhad,AIA PRS,58.82352941176471,Manual-Review,aia-prs.com.my,Malaysia
AIG EUROPE S.A. NUF,AIG Norge,86.66666666666667,Manual-Review,aig.no,Norway
AKTIESELSKABET RODOVRE CENTRUM,Aktieselskabet Rødovre Centrum,96.66666666666667,Auto-Accepted,,Denmark
ALLEN OVERY SHEARMAN STERLING LLP,A&O Shearman,100.0,Auto-Accepted,aoshearman.com,United Kingdom
ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Altair Aesthetic,51.724137931034484,Manual-Review,altairaesthetic.com,Singapore
"AMAZON WEB SERVICES, INC.",P o STER ART,90.47619047619048,Auto-Accepted,posterart.art,United States
AMAZON WEB SERVICES EMEA SARL,TKBEL,98.24561403508771,Auto-Accepted,tkbel.fr,Luxembourg
"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Amazon E Store,43.333333333333336,Reject,amazonestore.pk,Norway
AMDOCS DEVELOPMENT LIMITED,Amdocs,25.0,Reject,amdocs.com,United States
"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",American Steakhouse,23.157894736842106,Reject,butcher.dk,Denmark
American Express Europe SA (Norway),American Express Company AS,77.19298245614034,Manual-Review,americanexpress.no,Norway
ANALYSYS MASON AS,Analysys Mason,60.0,Manual-Review,analysysmason.com,Italy
MASON SITE FINDER LIMITED,R Mason Site Services Ltd.,68.42105263157895,Manual-Review,,United Kingdom
ANDCO A/S,Andco A/S.,100.0,Auto-Accepted,andco.dk,Denmark
Annalect Denmark A/S,Annalect,66.66666666666666,Manual-Review,annalect-data.info,Denmark
Anne Mette Lund,Anne Mette Høy,75.86206896551724,Manual-Review,mindre-stress.dk,Denmark
ANRITSU A/S,Anritsu,60.0,Manual-Review,anritsu.com,Japan
Aon Assessment Denmark A/S,Aon Invest A/S.,43.75,Reject,,Denmark
AON NORWAY AS,Aon Norway,100.0,Auto-Accepted,,Norway
APPDYNAMICS UK LTD,AppDynamic,83.33333333333334,Manual-Review,stluciakitefiesta.com,United Kingdom
APPLE DISTRIBUTION INTERNATIONAL LIMITED,Apple Distribution International,100.0,Auto-Accepted,,Ireland
APPLE DISTRIBUTION INTERNATIONAL LIMITED,Apple Distribution International,100.0,Auto-Accepted,,Ireland
Apple Malaysia Sdn. Bhd.,Apple Malaysia Sdn Bhd.,100.0,Auto-Accepted,,Malaysia
Apple South Asia (Thailand) Co Ltd,South East Asia Sails,60.86956521739131,Manual-Review,southeastasiasails.com,Thailand
ARELION NORWAY AS,Arelion Austria GmbH.,34.48275862068966,Reject,arelion.at,Austria
Arelion AB,Arelion,82.35294117647058,Manual-Review,arelion.com,Sweden
ARY COMMUNICATIONS LIMITED,Unisoft Computer & Communication,62.745098039215684,Manual-Review,unisoftcc.com,Pakistan
"Ascio Technologies, Corp. Danmark - Filial af Ascio Technologies Corp. Canada",Ascio Technologies,43.373493975903614,Reject,ascio.com,Denmark
ASIAINFO DENMARK ApS,Drys Denmark,72.22222222222221,Manual-Review,drysdenmark.dk,Denmark
Atea A/S,Atea Danmark,60.0,Manual-Review,atea.dk,Denmark
ATEA AS,Atea,100.0,Auto-Accepted,bajaz.no,Norway
Atea Sverige AB,Voister,100.0,Auto-Accepted,voister.se,Sweden
NP Investment A/S,Np International A/S.,55.172413793103445,Manual-Review,,Denmark
ATREBO SL,Trebolis,100.0,Auto-Accepted,trebolis.com,Spain
AV CENTER AALBORG ApS,AV CENTER,60.0,Manual-Review,avcenter.dk,Denmark
aviat networks bangladesh ltd.,Aviat Electric Store,48.888888888888886,Reject,,Bangladesh
Aviat Networks Japan LLC,Aviat Networks,36.84210526315789,Reject,atgnation.com,United States
AWAN DISTRIBUTION FZC,Max Lead Advertising,63.49206349206349,Manual-Review,maxleadadvertising.com,United Arab Emirates
Axteq ApS,Axteq,100.0,Auto-Accepted,axteq.dk,Denmark
Az-Technology Sdn. Bhd.,AZ Technology,100.0,Auto-Accepted,az-tech.my,Malaysia
BAE SYSTEMS APPLIED INTELLIGENCE (INTERNATIONAL) LIMITED,BAE Systems Applied Intelligence,82.05128205128204,Manual-Review,baesystemsdetica.com,United Kingdom
BASICO P/S,Basico P/S.,100.0,Auto-Accepted,,Denmark
"BB CONNECT CO.,LTD.",BB Connect LATAM,40.625,Reject,bbconnectlatam.com,
Bb Technology Co Ltd,BBtec,100.0,Auto-Accepted,bbtec.co.th,Thailand
BCD TRAVEL ASIA PACIFIC PTE. LTD.,BCD Engineering,43.47826086956522,Reject,bcdglobal.com.sg,Singapore
BCD N.V.,BCD,66.66666666666666,Manual-Review,bcdtravel.com,Netherlands
BEAT A/S,Beat,100.0,Auto-Accepted,beat.dk,Denmark
"Beijing Dynamic Power Co., Ltd",Beijing Dynamic Power Co. Ltd.,100.0,Auto-Accepted,xaqylm.com,China
BIGID INC.,BigID,100.0,Auto-Accepted,bigid.me,United States
Binkies Holding B.V.,Binkies,71.42857142857143,Manual-Review,binkies.nl,Netherlands
BLACKWOOD SEVEN A/S,Blackwood Seven,100.0,Auto-Accepted,blackwoodseven.com,Denmark
Blom Soefeldt - Erhvervspsykologisk radgivning,Blom Søefeldt - Erhvervspsykologisk Rådgivning,95.55555555555556,Auto-Accepted,blomsoefeldt.dk,Denmark
BOOST AI AS,Boost,76.92307692307693,Manual-Review,boost.ai,Norway
Bording Danmark A/S,Bording Central,100.0,Auto-Accepted,bordingcentral.dk,Denmark
Braathens Regional Airways AB,BRAATHENS REGIONAL AIRWAYS AB.,100.0,Auto-Accepted,,Sweden
BRAINCHILD COMMUNICATIONS PAKISTAN (PVT.) LIMITED,Brainchild Communications Pakistan,100.0,Auto-Accepted,brainchild.net,Pakistan
Brobizz A/S,Brobizz,100.0,Auto-Accepted,brobizz.com,Denmark
BUNDGAARD KOLETEKNIK. VEJLE A/S,Bundgaard Køleteknik A/S.,82.6086956521739,Manual-Review,,Denmark
Bynder Holding B.V.,Bynder,52.17391304347826,Manual-Review,bynder.com,Netherlands
C&W Services (S) Pte. Ltd.,CW Aero Services,81.08108108108108,Manual-Review,cwaeroservices.com,Singapore
CAMPANA GROUP PTE. LTD.,Campana Group,86.66666666666667,Manual-Review,campanaworks.com,Singapore
CBRE AS,CBRE Norway,63.333333333333336,Manual-Review,cbre.no,Norway
CBRE Teknisk Servicepartner A/S,CBRE Teknisk servicepartner,100.0,Auto-Accepted,cbre-tekniskservicepartner.dk,Denmark
CELLUSYS LIMITED,Cellusys,100.0,Auto-Accepted,cellusys.com,Ireland
CENTERFORENINGEN FISKETORVET SHOPPING CENTER F.M.B.A.,Centerforeningen Borgergården,58.97435897435898,Manual-Review,,Denmark
CETIN Hungary Zrt.,CETIN Hungary,100.0,Auto-Accepted,cetin.hu,Hungary
CHINA TELECOM GLOBAL LTD,China Telecom Global,100.0,Auto-Accepted,chinatelecomglobal.com,Hong Kong
CHINA UNICOM (SINGAPORE) OPERATIONS PTE. LTD.,China Unicom Singapore Operations Limited,94.28571428571428,Auto-Accepted,cuniq.sg,Singapore
CHUBB GLOBAL RISK ADVISORS PTE. LTD.,Chubb Global Risk Advisors,100.0,Auto-Accepted,cgra.com.sg,Singapore
CIBICOM SERVICES A/S,Cibicom,76.19047619047619,Manual-Review,cibicom.com,Denmark
CIENA LIMITED,Ciena,100.0,Auto-Accepted,ciena.in,United Kingdom
CISCO INTERNATIONAL LIMITED,Cisco Systems London,51.28205128205128,Manual-Review,cisco.co.uk,United Kingdom
CISCO NORWAY AS,Cisco Systems Norway AS,75.0,Manual-Review,,Norway
CITERO AS,Citero,100.0,Auto-Accepted,citero.no,Norway
"CLOUDERA, INC.",Cloudera,100.0,Auto-Accepted,cloudera.com,United States
Comba Technologies Sdn. Bhd.,OM Technologies Sdn.Bhd.,91.66666666666666,Auto-Accepted,,Malaysia
COMBA TELECOM LIMITED,Comba Telecom,100.0,Auto-Accepted,comba-telecom.com,Hong Kong
Comengineering Sdn. Bhd.,COMENGINEERING SDN BHD.,100.0,Auto-Accepted,,Malaysia
